"iteration","a","b","cp","N","model","Sobel_z"
1,-0.3,-0.3,-0.2,100,1,1.78357382746391
1,-0.3,-0.3,-0.2,100,2,0.339754368479679
2,-0.3,-0.3,-0.2,100,1,2.19273455474019
2,-0.3,-0.3,-0.2,100,2,-0.00640007262246468
3,-0.3,-0.3,-0.2,100,1,1.69286810126099
3,-0.3,-0.3,-0.2,100,2,-0.591763092742506
4,-0.3,-0.3,-0.2,100,1,1.80984229466026
4,-0.3,-0.3,-0.2,100,2,0.805149604918121
5,-0.3,-0.3,-0.2,100,1,1.97801738622939
5,-0.3,-0.3,-0.2,100,2,1.29164814610154
6,-0.3,-0.3,-0.2,100,1,2.78068409289917
6,-0.3,-0.3,-0.2,100,2,0.420090521693338
7,-0.3,-0.3,-0.2,100,1,2.25099593255711
7,-0.3,-0.3,-0.2,100,2,1.88842271830478
8,-0.3,-0.3,-0.2,100,1,1.54267068028229
8,-0.3,-0.3,-0.2,100,2,1.34795509197737
9,-0.3,-0.3,-0.2,100,1,2.12407597617342
9,-0.3,-0.3,-0.2,100,2,0.909050603244272
10,-0.3,-0.3,-0.2,100,1,1.55974195317358
10,-0.3,-0.3,-0.2,100,2,1.04497855040689
11,-0.3,-0.3,-0.2,100,1,1.90788078169346
11,-0.3,-0.3,-0.2,100,2,1.24461868689484
12,-0.3,-0.3,-0.2,100,1,2.50865348311037
12,-0.3,-0.3,-0.2,100,2,0.0435904167174474
13,-0.3,-0.3,-0.2,100,1,1.40752484102301
13,-0.3,-0.3,-0.2,100,2,1.22909791813017
14,-0.3,-0.3,-0.2,100,1,1.50961944485844
14,-0.3,-0.3,-0.2,100,2,-0.967192430495254
15,-0.3,-0.3,-0.2,100,1,1.267101667903
15,-0.3,-0.3,-0.2,100,2,1.14178603340183
16,-0.3,-0.3,-0.2,100,1,1.37605910303491
16,-0.3,-0.3,-0.2,100,2,0.916119087065788
17,-0.3,-0.3,-0.2,100,1,2.50026448709632
17,-0.3,-0.3,-0.2,100,2,0.444035906230172
18,-0.3,-0.3,-0.2,100,1,2.34783703391792
18,-0.3,-0.3,-0.2,100,2,1.61159308104632
19,-0.3,-0.3,-0.2,100,1,2.29864388189461
19,-0.3,-0.3,-0.2,100,2,0.925221390765416
20,-0.3,-0.3,-0.2,100,1,1.80200510634751
